Country Name,2018
Aruba,105845
Afghanistan,37172386
Angola,30809762
Albania,2866376
Andorra,77006
Arab World,419790588
United Arab Emirates,9630959
Argentina,44494502
Armenia,2951776
American Samoa,55465
Antigua and Barbuda,96286
Australia,24992369
Austria,8847037
Azerbaijan,9942334
Burundi,11175378
Belgium,11422068
Benin,11485048
Burkina Faso,19751535
Bangladesh,161356039
Bulgaria,7024216
Bahrain,1569439
Bahamas,385640
Bosnia and Herzegovina,3323929
Belarus,9485386
Belize,383071
Bermuda,63968
Bolivia,11353142
Brazil,209469333
Barbados,286641
Brunei,428962
Bhutan,754394
Botswana,2254126
Central African Republic,4666377
Canada,37058856
Central Europe and the Baltics,102511922
Switzerland,8516543
Channel Islands,170499
Chile,18729160
China,1392730000
Cote d'Ivoire,25069229
Cameroon,25216237
"Congo (Kinshasa)",84068091
"Congo (Brazzaville)",5244363
Colombia,49648685
Comoros,832322
Cabo Verde,543767
Costa Rica,4999441
Caribbean small states,7358965
Cuba,11338138
Curacao,159849
Cayman Islands,64174
Cyprus,1189265
Czech Republic,10625695
Germany,82927922
Djibouti,958920
Dominica,71625
Denmark,5797446
Dominican Republic,10627165
Algeria,42228429
East Asia & Pacific (excluding high income),2081651801
Early-demographic dividend,3249140605
East Asia & Pacific,2328220870
Europe & Central Asia (excluding high income),417797257
Europe & Central Asia,918793590
Ecuador,17084357
Egypt,98423595
Euro area,341783171
Eritrea,
Spain,46723749
Estonia,1320884
Ethiopia,109224559
European Union,513213363
Fragile and conflict affected situations,515215936
Finland,5518050
Fiji,883483
France,66987244
Faroe Islands,48497
"Micronesia, Fed. Sts.",112640
Gabon,2119275
United Kingdom,66488991
Georgia,3731000
Ghana,29767108
Gibraltar,33718
Guinea,12414318
Gambia,2280102
Guinea-Bissau,1874309
Equatorial Guinea,1308974
Greece,10727668
Grenada,111454
Greenland,56025
Guatemala,17247807
Guam,165768
Guyana,779004
High income,1210312147
"Hong Kong SAR, China",7451000
Honduras,9587522
Heavily indebted poor countries (HIPC),780234406
Croatia,4089400
Haiti,11123176
Hungary,9768785
IBRD only,4772284113
IDA & IBRD total,6412522234
IDA total,1640238121
IDA blend,555830605
Indonesia,267663435
IDA only,1084407516
Isle of Man,84077
India,1352617328
Not classified,
Ireland,4853506
Iran,81800269
Iraq,38433600
Iceland,353574
Israel,8883800
Italy,60431283
Jamaica,2934855
Jordan,9956011
Japan,126529100
Kazakhstan,18276499
Kenya,51393010
Kyrgyz Republic,6315800
Cambodia,16249798
Kiribati,115847
St. Kitts and Nevis,52441
South Korea,51635256
Kuwait,4137309
Latin America & Caribbean (excluding high income),609013934
Laos,7061507
Lebanon,6848925
Liberia,4818977
Libya,6678567
St. Lucia,181889
Latin America & Caribbean,641357515
Least developed countries: UN classification,1009662578
Low income,705417321
Liechtenstein,37910
Sri Lanka,21670000
Lower middle income,3022905169
Low & middle income,6383958209
Lesotho,2108132
Late-demographic dividend,2288665963
Lithuania,2789533
Luxembourg,607728
Latvia,1926542
"Macao SAR, China",631636
Martinique,37264
Morocco,36029138
Monaco,38682
Moldova,3545883
Madagascar,26262368
Maldives,515696
Middle East & North Africa,448912859
Mexico,126190788
Marshall Islands,58413
Middle income,5678540888
North Macedonia,2082958
Mali,19077690
Malta,483530
Myanmar,53708395
Middle East & North Africa (excluding high income),382896715
Montenegro,622345
Mongolia,3170208
Northern Mariana Islands,56882
Mozambique,29495962
Mauritania,4403319
Mauritius,1265303
Malawi,18143315
Malaysia,31528585
North America,364290258
Namibia,2448255
New Caledonia,284060
Niger,22442948
Nigeria,195874740
Nicaragua,6465513
Netherlands,17231017
Norway,5314336
Nepal,28087871
Nauru,12704
New Zealand,4885500
OECD members,1303529456
Oman,4829483
Other small states,30758989
Pakistan,212215030
Panama,4176873
Peru,31989256
Philippines,106651922
Palau,17907
Papua New Guinea,8606316
Poland,37978548
Pre-demographic dividend,919485393
Puerto Rico,3195153
"Korea, Dem. People’s Rep.",25549819
Portugal,10281762
Paraguay,6956071
West Bank and Gaza,4569087
Pacific island small states,2457367
Post-demographic dividend,1109997273
French Polynesia,277679
Qatar,2781677
Romania,19473936
Russia,144478050
Rwanda,12301939
South Asia,1814388744
Saudi Arabia,33699947
Sudan,41801533
Senegal,15854360
Singapore,5638676
Solomon Islands,652858
Sierra Leone,7650154
El Salvador,6420744
San Marino,33785
Somalia,15008154
Serbia,6982084
Sub-Saharan Africa (excluding high income),1078209758
South Sudan,10975920
Sub-Saharan Africa,1078306520
Small states,40575321
Sao Tome and Principe,211028
Suriname,575991
Slovakia,5447011
Slovenia,2067372
Sweden,10183175
Eswatini,1136191
Sint Maarten (Dutch part),40654
Seychelles,96762
Syria,16906283
Turks and Caicos Islands,37665
Chad,15477751
East Asia & Pacific (IDA & IBRD countries),2056064424
Europe & Central Asia (IDA & IBRD countries),459865205
Togo,7889094
Thailand,69428524
